"Symbol","Name","Price..Intraday.","Change","X..Change","Volume","Avg.Vol..3.month.","Market.Cap","PE.Ratio..TTM.","X52.Week.Range"
"STEC.BK","Sino-Thai Engineering and Construction Public Company Limited",14.3,-0.2,"-1.38%","9.151M","7.526M",2.1809e+13,"23.44",NA
"IMPACT.BK","Impact Growth Real Estate Investment Trust",14.5,0.8,"+5.84%","1.737M","633,598",2.1496e+13,"35.37",NA
"SPC.BK","Saha Pathanapibul Public Company Limited",64.75,-0.25,"-0.38%","806","2,304",2.114e+13,"12.98",NA
"SVI.BK","SVI Public Company Limited",9.8,-0.2,"-2.00%","12.624M","11.335M",2.1101e+13,"11.81",NA
"BEC.BK","BEC World Public Company Limited",10.5,-0.2,"-1.87%","3.148M","6.122M",2.1e+13,"27.63",NA
"SABUY.BK","Sabuy Technology Public Company Limited",13,0.3,"+2.36%","55.413M","17.248M",2.0878e+13,"17.11",NA
"ERW.BK","The Erawan Group Public Company Limited",4.58,0.04,"+0.88%","17.251M","15.039M",2.0755e+13,"65.43",NA
"SISB.BK","SISB Public Company Limited",22,0.5,"+2.33%","1.403M","1.879M",2.068e+13,"75.86",NA
"BAFS.BK","Bangkok Aviation Fuel Services Public Company Limited",32.25,0.25,"+0.78%","258,677","953,465",2.0559e+13,"N/A",NA
"JAS.BK","Jasmine International Public Company Limited",2.32,0.02,"+0.87%","7.069M","26.111M",1.9935e+13,"N/A",NA
"ONEE.BK","The ONE Enterprise Public Company Limited",8.15,-0.05,"-0.61%","5.216M","8.126M",1.9407e+13,"23.97",NA
"PRM.BK","Prima Marine Public Company Limited",7.7,0.05,"+0.65%","3.824M","9.302M",1.925e+13,"11.32",NA
"SGP.BK","Siamgas and Petrochemicals Public Company Limited",10,0,"0.00%","358,119","609,491",1.8379e+13,"8.77",NA
"BLAND.BK","Bangkok Land Public Company Limited",1.05,0,"0.00%","5.672M","17.544M",1.822e+13,"17.50",NA
"OISHI.BK","Oishi Group Public Company Limited",48.5,0.25,"+0.52%","5,802","17,844",1.8187e+13,"15.20",NA
"BCT.BK","Birla Carbon (Thailand) Public Company Limited",60.5,1.75,"+2.98%","19,401","8,455",1.815e+13,"4.37",NA
"ASK.BK","Asia Sermkij Leasing Public Company Limited",34.25,-0.25,"-0.72%","909,727","1.268M",1.8079e+13,"12.55",NA
"SC.BK","SC Asset Corporation Public Company Limited",4.2,0.02,"+0.48%","3.894M","17.319M",1.7778e+13,"8.08",NA
"SUPER.BK","Super Energy Corporation Public Company Limited",0.65,0,"0.00%","81.141M","46.023M",1.7777e+13,"16.25",NA
"THCOM.BK","Thaicom Public Company Limited",15.5,-0.3,"-1.90%","12.688M","19.968M",1.699e+13,"44.29",NA
"TCCC.BK","Thai Central Chemical Public Company Limited",28.75,0,"0.00%","8,405","10,075",1.6811e+13,"17.11",NA
"GFPT.BK","GFPT Public Company Limited",13.4,-0.1,"-0.74%","3.738M","5.506M",1.6801e+13,"10.15",NA
"TKN.BK","Taokaenoi Food & Marketing Public Company Limited",12,0.9,"+8.11%","24.528M","12.85M",1.656e+13,"42.86",NA
"MAJOR.BK","Major Cineplex Group Public Company Limited",18.5,-0.2,"-1.07%","3.788M","3.923M",1.6551e+13,"59.68",NA
"SGC.BK","SG Capital Public Company Limited",5,0.14,"+2.88%","58.462M","134.863M",1.635e+13,"21.74",NA
"RS.BK","RS Public Company Limited",17,0.1,"+0.59%","1.089M","1.685M",1.6329e+13,"188.89",NA
"AYUD.BK","Allianz Ayudhya Capital Public Company Limited",41.75,-0.25,"-0.60%","4,014","8,331",1.6252e+13,"16.31",NA
"WHAUP.BK","WHA Utilities and Power Public Company Limited",4.18,0,"0.00%","1.689M","3.672M",1.5988e+13,"34.83",NA
"SPCG.BK","SPCG Public Company Limited",15,-0.1,"-0.66%","215,933","557,555",1.5837e+13,"7.08",NA
"SHR.BK","S Hotels and Resorts Public Company Limited",4.38,0,"0.00%","6.053M","15.798M",1.574e+13,"N/A",NA
"KSL.BK","Khon Kaen Sugar Industry Public Company Limited",3.56,-0.02,"-0.56%","1.791M","3.328M",1.57e+13,"11.87",NA
"GGC.BK","Global Green Chemicals Public Company Limited",14.9,0.1,"+0.68%","138,600","155,259",1.5253e+13,"17.13",NA
"ICHI.BK","Ichitan Group Public Company Limited",11.7,0,"0.00%","5.043M","7.428M",1.521e+13,"26.00",NA
"DMT.BK","Don Muang Tollway Public Company Limited",12.7,0.2,"+1.60%","971,016","1.417M",1.5002e+13,"21.17",NA
"BE8.BK","Beryl 8 Plus Public Company Limited",62.25,0.5,"+0.81%","696,620","1.817M",1.498e+13,"119.71",NA
"TTA.BK","Thoresen Thai Agencies Public Company Limited",8.15,-0.05,"-0.61%","3.724M","6.51M",1.4853e+13,"2.97",NA
"GLAND.BK","Grand Canal Land Public Company Limited",2.26,0,"0.00%","136,082","38,342",1.469e+13,"28.25",NA
"KTIS.BK","Kaset Thai International Sugar Corporation Public Company Limited",3.8,0,"0.00%","33,602","129,504",1.4668e+13,"34.55",NA
"STANLY.BK","Thai Stanley Electric Public Company Limited",191,-1,"-0.52%","25,751","43,881",1.4635e+13,"8.74",NA
"PR9.BK","Praram 9 Hospital Public Company Limited",18.4,-0.4,"-2.13%","1.993M","2.117M",1.4468e+13,"26.29",NA
"AAI.BK","Asian Alliance International Public Company Limited",6.75,-0.1,"-1.46%","16.94M","59.27M",1.4344e+13,"3.20",NA
"SYNEX.BK","Synnex (Thailand) Public Company Limited",16.9,0,"0.00%","1.216M","2.374M",1.432e+13,"15.94",NA
"SAK.BK","Saksiam Leasing Public Company Limited",6.55,-0.05,"-0.76%","978,000","2.12M",1.3729e+13,"19.85",NA
"MOSHI.BK","Moshi Moshi Retail Corporation Public Company Limited",45,2,"+4.65%","2.721M","9.926M",1.35e+13,"N/A",NA
"XPG.BK","XSpring Capital Public Company Limited",1.44,-0.03,"-2.04%","17.547M","30.57M",1.3494e+13,"N/A",NA
"SAPPE.BK","Sappe Public Company Limited",43.25,-1,"-2.26%","1.668M","904,942",1.3333e+13,"24.03",NA
"NUSA.BK","Nusasiri Public Company Limited",1.14,0,"0.00%","5.586M","44.947M",1.3276e+13,"N/A",NA
